UID,lon,lat,CEWOVll,nearest_mapped_dist,n_wetlands_pwet,area_wetlands_pwet,wet_prop_mean,area_mean_max,STRANNTEMP,STRELEMEAN,STRANNRAIN,RUNANNMEAN,VALLEYSLOPE,Perca fluviatilis,Philypnodon grandiceps,Cyprinus carpio,Gambusia holbrooki,Nannoperca australis,Retropinna semoni,Craterocephalus fluviatilis,Gadopsis marmoratus,Mogurnda adspersa,Hypseleotris klunzingeri,Galaxias rostratus,Misgurnus anguillicaudatus,id
r1g38ytwq,139.60826212493,-34.854125226,Lower Murray,0,0,0,1,81.68078750833729,15.7624998092651,17.5249767303467,290.1875,0.197509914636612,1.16021120548248,8,29,136,11,0,2,0,0,0,0,0,0,3611
r1g394380,139.615803717516,-34.8805165595,Lower Murray,220.692523970113,0,0,1,34.04397263788232,15.631667137146,5,299,13468453,0,1,12,40,108,0,51,0,0,0,0,0,0,3623
r1g39t22b,139.637155201008,-34.863627428,Lower Murray,185.949059836904,0,0,0.972972972972973,71.574863403027,15.631667137146,5,299,13468453,0,14,70,149,21,0,0,0,0,0,0,0,0,3654
r1g3b3erw,139.586361028929,-34.8391102385,Lower Murray,0,5,11.2489740397344,1,5.149081174655664,15.8999996185303,5,284,13468452,0,0,0,2,5,0,0,0,0,0,0,0,0,3659
r1g3b3fq1,139.583820003835,-34.8380211039999,Lower Murray,50.319122995229,0,0,0.7297297297297297,0.5671114508990066,15.8999996185303,5,284,13468452,0,2,7,75,12,0,1,0,0,0,0,0,0,3660
r1g3b45xm,139.568698454795,-34.830014891,Lower Murray,0,5,14.113019927421,1,1.404070717481045,15.8999996185303,5,283.333343505859,13468452,0,0,0,1,1,0,0,0,0,0,0,0,0,3663
r1g3b63kz,139.578390296043,-34.8340183154999,Lower Murray,0,0,0,1,91.34077542435558,15.8000001907349,11.1708221435547,285.666656494141,0,1.1345362663269,12,31,327,66,0,11,0,0,0,0,0,0,3666
r1g3b965x,139.595354651386,-34.8415315889999,Lower Murray,59.774883710068,5,11.2489740397344,1,6.230462796705748,15.5139236450195,5,304.544311523438,13468452,0,0,0,2,1,0,0,0,0,0,0,0,0,3676
r1g4pv0dr,139.564422395992,-34.7762191295,Lower Murray,0,0,0,0.972972972972973,86.47713817763062,15.872727394104,5,279.151519775391,13468452,0,0,2,0,1,0,1,0,0,0,0,0,0,3722
r1g4r76fm,139.539566936171,-34.7376046934999,Lower Murray,0,4,14.3725212316675,1,1.4950414396295886,15.7318181991577,5,288.545440673828,6734226,0,0,0,0,0,0,1,0,0,0,0,0,0,3729
r1g4rbsse,139.565824306079,-34.75675471,Lower Murray,32.1825552837804,0,0,1,36.76394705935345,15.872727394104,5,279.151519775391,13468452,0,4,73,26,13,0,0,0,0,0,0,0,0,3736
r1g4rdc9x,139.545835206711,-34.7409303979999,Lower Murray,25.9475150450529,4,14.3725212316675,1,1.867583826470557,15.9136362075806,5,278.318176269531,6734226,0,2,29,49,7,0,0,0,0,0,0,0,0,3740
r1g4rdm33,139.548288089196,-34.746998745,Lower Murray,0,3,12.4817364829228,1,5.86911608794107,15.9136362075806,5,278.318176269531,6734226,0,0,1,1,0,0,0,0,0,0,0,0,0,3741
r1g4rf6kq,139.545650633272,-34.743842216,Lower Murray,0,0,0,1,75.38991374879068,15.9136362075806,5,278.318176269531,6734226,0,2,62,101,30,0,1,0,0,0,0,0,0,3745
r1g4rqyd8,139.546121895383,-34.7233879814999,Lower Murray,0,4,14.3725212316675,0.6756756756756757,0.42917799460597805,16,9.0648078918457,273.5,0,0.65823370218277,0,0,36,0,0,13,0,0,0,0,0,0,3754
r1g4rxk1d,139.552914955812,-34.721325097,Lower Murray,0,0,0,1,121.21749815373074,15.9812498092651,5,271.875,13468452,0,0,0,80,28,0,14,0,0,0,0,0,0,3756
r1g4w5hwu,139.463997130119,-34.7014273864999,Lower Murray,0,0,0,0.6756756756756757,1.704277344259897,15.6209182739258,46.6936454772949,294.872436523438,14506.712890625,0.195043712854385,0,0,0,4,0,0,0,2,0,0,0,0,3767
r1g4xbuf0,139.566219946981,-34.7122440249999,Lower Murray,351.940612041012,5,12.6728990989506,0.918918918918919,1.124150877964011,15.9812498092651,5,271.875,13468452,0,0,0,26,0,0,0,0,0,0,0,0,0,3770
r1g4xgtcd,139.570274356839,-34.6988510429999,Lower Murray,0,0,0,0.945945945945946,3.4881614569432777,15.8999996185303,13.1188745498657,275.818176269531,14508.4697265625,0.298052936792374,0,0,0,0,0,0,0,0,0,0,0,0,3776
r1g4xk04z,139.529939289986,-34.7008297805,Lower Murray,0,0,0,0.5675675675675675,0.653586914622886,15.8874998092651,25.4793453216553,277,14507.1806640625,0.509101271629333,0,0,1,1,0,0,0,0,0,0,0,0,3777
r1g681j71,139.577716165597,-34.706060288,Lower Murray,140.710011036262,6,14.3157607507544,1,8.190364990034588,15.9812498092651,5,271.875,13468452,0,2,28,80,27,0,0,0,0,0,0,0,0,3828
r1g681s86,139.576776592881,-34.7084658429999,Lower Murray,204.310370095043,5,12.6728990989506,0.6486486486486487,3.5401012464421897,15.9812498092651,5,271.875,13468452,0,0,0,1,1,0,0,0,0,0,0,0,0,3830
r1g6838us,139.585837444387,-34.7046438844999,Lower Murray,143.660015818355,7,18.7957360148045,0.972972972972973,2.036146748478477,16,5,268.857147216797,13453943,0,0,0,1,0,0,0,0,0,0,0,0,0,3831
r1g68693f,139.582768272399,-34.7009979065,Lower Murray,110.331737839646,0,0,1,62.693598787777525,16,5,268.857147216797,13453943,0,2,32,105,27,0,1,0,0,0,0,0,0,3840
r1g686fc4,139.585204619574,-34.7015688419999,Lower Murray,415.489787019613,0,0,0.972972972972973,0.5091290337981996,16,5,268.857147216797,13453943,0,6,14,78,18,0,0,0,0,0,0,0,0,3841
r1g68k1xg,139.583884716236,-34.692707734,Lower Murray,0,10,24.5269867130321,1,8.497064530485584,16,5,268.857147216797,13453943,0,0,5,88,4,0,13,0,0,0,0,0,0,3848
r1g68wh0m,139.599278441714,-34.6838431904999,Lower Murray,88.100442040947,7,17.9611378238119,0.5945945945945946,0.9768219558870282,15.9111108779907,5.61657190322876,273.407409667969,0.246418252587318,0.0564941987395287,0,0,10,0,0,0,0,0,0,0,0,0,3872
r1g68y013,139.602449320363,-34.6836019949999,Lower Murray,38.5805558909678,8,19.7526084913603,0.6216216216216216,1.9849426458079735,15.9111108779907,5.61657190322876,273.407409667969,0.246418252587318,0.0564941987395287,4,0,535,0,0,105,0,0,0,0,0,0,3875
r1g68y2vm,139.602269705534,-34.6817269555,Lower Murray,0,0,0,0.945945945945946,49.150777432976106,15.9111108779907,5.61657190322876,273.407409667969,0.246418252587318,0.0564941987395287,17,4,1055,88,0,344,0,0,0,0,0,0,3876
r1g69j7ut,139.636887138446,-34.677713312,Lower Murray,0,9,21.1669828585366,0.972972972972973,8.054340218358378,15.8470582962036,5,278.418609619141,13453942,0,1,0,260,0,0,19,0,0,0,0,0,0,3878
r1g69xgq3,139.646160909739,-34.6640728654999,Lower Murray,0,0,0,1,251.75922064501515,15.8470582962036,5,278.418609619141,13453942,0,0,4,4,5,0,5,0,0,0,0,0,0,3891
r1g6crnjk,139.634414305297,-34.6325905539999,Lower Murray,145.689412444997,0,0,0.7297297297297297,0.6513320845879761,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,2,72,17,14,0,9,0,0,0,0,0,0,3938
r1g6cux2q,139.658943492598,-34.645766945,Lower Murray,306.954525418505,5,11.8540876140815,0.4864864864864865,1.5694434297317517,15.8470582962036,5,278.418609619141,13453942,0,0,0,50,1,0,0,0,0,0,0,0,0,3940
r1g6cxbr3,139.635535054168,-34.630616322,Lower Murray,34.1890931846064,0,0,0.945945945945946,38.6618621743733,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,1,40,38,97,0,48,0,0,0,0,0,0,3943
r1g6fh9b5,139.658661771802,-34.6467626895,Lower Murray,55.0322027687081,5,11.8540876140815,0.945945945945946,6.141084356639358,15.8470582962036,5,278.418609619141,13453942,0,0,0,50,0,0,0,0,0,0,0,0,0,3949
r1g71b6nd,139.649792803816,-34.6269861659999,Lower Murray,0,0,0,0.972972972972973,21.568562298186585,16.1000003814697,5,264.399993896484,6726969.5,0,0,108,29,64,0,3,0,0,0,0,0,0,3989
r1g727ky6,139.583786855283,-34.5699648789999,Lower Murray,0,0,0,0.972972972972973,65.72912595509105,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,0,2,145,0,0,0,0,0,0,0,0,4007
r1g7290c7,139.592348809528,-34.579434376,Lower Murray,272.330426605314,0,0,1,73.7957826559996,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,18,54,28,30,0,25,0,0,0,0,0,0,4011
r1g72d9c6,139.594960384027,-34.571864302,Lower Murray,63.0127618225366,7,26.2458820916608,0.945945945945946,1.4139521120858074,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,4,2,24,74,0,37,0,0,0,0,0,0,4013
r1g72sjn5,139.599956783988,-34.5616683185,Lower Murray,114.834725092422,6,22.445701997737,1,3.6636655498516406,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,0,1,0,0,0,0,0,0,0,0,0,4018
r1g72yjrb,139.610359918089,-34.5507477275,Lower Murray,105.791266835272,7,23.586020696893,0.972972972972973,11.699008344728462,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,0,2,2,0,4,0,0,0,0,0,0,4032
r1g72z63q,139.606667918268,-34.5448749485,Lower Murray,222.417907003509,0,0,0.972972972972973,1.73593653898,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,0,1,0,0,2,0,0,0,0,0,0,4033
r1g72zjqf,139.610754745166,-34.5473238135,Lower Murray,165.597909889502,0,0,0.972972972972973,66.38267921717018,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,1,5,59,55,0,60,0,0,0,0,0,0,4034
r1g786wzy,139.591226216688,-34.527751818,Lower Murray,382.70182613989,7,22.9356555377269,0.945945945945946,1.8492030743100696,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,2,0,210,18,0,42,0,0,0,0,0,0,4042
r1g787465,139.584699200127,-34.524739123,Lower Murray,272.225710831552,0,0,0.945945945945946,34.936240460624305,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,1,108,0,0,20,0,0,0,0,0,0,4043
r1g787hx6,139.588701529917,-34.5248147364999,Lower Murray,437.587193838564,6,19.5935521336011,0.945945945945946,3.3190360060329676,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,2,11,3,0,8,0,0,0,0,0,0,4044
r1g7892pz,139.593037618179,-34.5335371035,Lower Murray,141.465773647276,6,21.0032141644597,0.972972972972973,10.063759900387453,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,1,13,18,0,26,0,0,0,0,0,0,4045
r1g789evk,139.597963368888,-34.5315647334999,Lower Murray,424.661665535593,6,21.0032141644597,0.7027027027027027,0.7394038626912355,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,9,1,255,2,0,8,0,0,0,0,0,0,4048
r1g789q82,139.601215285714,-34.5341554104999,Lower Murray,326.684094121,0,0,0.945945945945946,29.41135296052188,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,24,0,594,22,0,192,0,0,0,0,0,0,4049
r1g78b1k7,139.605969430151,-34.5418740025,Lower Murray,93.5764472176755,6,21.0032141644597,1,12.03104981696667,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,13,0,551,13,0,139,0,0,0,0,0,0,4052
r1g78dd1m,139.593756827444,-34.526037357,Lower Murray,728.876356730817,0,0,0.945945945945946,23.335388101724316,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,0,66,42,0,55,0,0,0,0,0,0,4058
r1g78dhbn,139.595001945598,-34.528910269,Lower Murray,591.156044404038,7,22.9356555377269,0.945945945945946,8.728289600349667,15.9614210128784,5.00026416778564,270.564056396484,13453939,1.17789923024247e-5,0,1,2,23,0,18,0,0,0,0,0,0,4059
r1g78jjw3,139.577584468158,-34.5120549864999,Lower Murray,252.642436133812,0,0,1,29.02932795269202,16.2125015258789,5.00365495681763,256.0625,13453900,6.88341751811095e-5,0,1,97,55,0,13,0,0,0,0,0,0,4067
r1g78jx4z,139.580227126983,-34.509108933,Lower Murray,219.246294158249,5,18.3936947976618,0.972972972972973,4.926479042949544,16.2125015258789,5.00365495681763,256.0625,13453900,6.88341751811095e-5,0,0,10,0,0,1,0,0,0,0,0,0,4068
r1g7bsdf5,139.596936930191,-34.4719319799999,Lower Murray,60.2797845887029,3,10.9187188474417,0.945945945945946,19.071038579912713,16.1280708312988,5.00622510910034,262.982452392578,6726942.5,2.74754202109762e-5,0,2,113,6,0,1,0,0,0,0,0,0,4097
r1g7bss8j,139.59904551691,-34.4724708625,Lower Murray,24.4515467607059,0,0,1,33.545744815460026,16.1770343780518,5.00646591186523,262.945770263672,6726942.5,1.58528018801007e-5,17,2,354,46,0,20,0,0,0,0,0,0,4099
